id	description	en	local
		Next, connect the 'Axis 1 [$[action_left]]/[$[action_right]]' node from the seat to the the 'rotation input' node in the second rudder.\n\nThis will allow you to apply a turning force by pressing [$[action_left]] or [$[action_right]].	Em seguida, conecte o 'Eixo 1 [$ [action_left]] / [$ [action_right]]' nó do banco para o nó 'input rotação no segundo leme. \ N \ n Este irá permitir-lhe aplicar uma força de rotação pressionando [$ [action_left]] ou [$ [action_right]].
		Finally, connect the power between the engine and propeller.\n\nThis will pass the power created by the engine through to the propeller and allow you to move the boat forward and back with the throttle.	Finalmente, conecte o poder entre o motor ea hélice. \ N \ nEste vai passar o poder criado pelo motor até a hélice e permitem mover o barco para a frente e para trás com o acelerador.
		Click on the large '+' button to create a new save file.	Clique no botão grande '+' para criar um novo save arquivo.
		Type in a name for your boat.\nThen click on the 'Save' button.	Digite um nome para o seu barco. \ Ndepois clique no botão 'Salvar'.
		Click on the 'Save' button in the top bar to start saving your boat.	Clique no botão 'Salvar' na barra superior para começar a poupar o seu barco.
		Press [$[action_missions]] again to close the missions screen.	Pressione [$ [action_missions]] novamente para fechar a tela missões.
		You have a new mission.\nPress [$[action_missions]] to bring up the missions screen and get more information.	Você tem uma nova missão. \ NPressione [$ [action_missions]] para abrir as missões tela e obter mais informações.
		Click on the 'Missions' button to see an overview of all currently available missions.	Clique no botão 'Missões' para ver uma visão geral de todas as missões disponíveis atualmente.
		Click the mission overview to show more detailed information about it.	Clique na visão missão de mostrar informações mais detalhadas sobre o assunto.
		Click the 'Toggle Active' button to make this the active mission.\n\nThe mission will then be shown on the map and in game.	Clique no botão 'Alternar Ativo' para fazer esta missão ativa. \ N missão \ nO depois serão exibidos no mapa e no jogo.
		Press [$[action_interact_right]] when looking at the crate to pick it up.	Pressione [$ [action_interact_right]] quando se olha para o caixote para buscá-lo.
		Press [$[action_interact_right]] (hold and release to throw) to place the crate into your boat.	Pressione [$ [action_interact_right]] (segure e solte para jogar) para colocar a caixa em seu barco.
		Press [$[action_use_seat]] when looking at your pilot seat to start driving your boat.	Pressione [$ [action_use_seat]] quando se olha para o seu assento de piloto para começar a dirigir seu barco.
		Press [$[action_camera_mode]] to enter third-person view while in a seat.	Pressione [$ [action_camera_mode]] para entrar visão em terceira pessoa, enquanto em um assento.
		Press [$[action_camera_mode]] to return to first-person view.	Pressione [$ [action_camera_mode]] para voltar à visão em primeira pessoa.
		Use [$[action_up]][$[action_left]][$[action_down]][$[action_right]] to drive to the target location.	Use [$ [action_up]] [$ [action_left]] [$ [action_down]] [$ [action_right]] de carro para o local de destino.
		Press [$[action_interact_right]] while looking at the engine on/off button to turn on the engine.	Pressione [$ [action_interact_right]] enquanto olha para o motor botão on / off para ligar o motor.
		Press [$[action_use_seat]] to exit your vehicle.	Pressione [$ [action_use_seat]] para sair do seu veículo.
		Press [$[action_interact_right]] to pick up the crate.	Pressione [$ [action_interact_right]] para pegar a caixa.
		Press [$[action_interact_right]] to place the crate in the drop zone.	Pressione [$ [action_interact_right]] para colocar a caixa na zona de rebaixamento.
		Click the sleep button to fast-forward to your next mission.	Clique no botão de suspensão para fast-forward para sua próxima missão.
		Press [$[action_use_seat]] while looking at your bed to go to sleep.	Pressione [$ [action_use_seat]] enquanto olha para a sua cama para ir dormir.
		Bed	Cama
		Return to your home base.	Voltar para sua base.
		Home	Casa
		Welcome to Stormworks	Bem-vindo ao Stormworks
		FIX YOUR BOAT	FIXAR SEU BARCO
		Your boat was damaged in a recent storm. You will need to use a workbench to fix it.	O seu barco foi danificado por uma tempestade recente. Você vai precisar usar uma bancada para corrigi-lo.
		Workbench	Workbench
		VEHICLE EDITOR	VEÍCULO EDITOR
		This is the vehicle editor, where you can fix your boat.	Este é o editor do veículo, onde você pode consertar seu barco.
		ROTATE THE CAMERA	Girar a câmera
		You can rotate the camera around in the vehicle editor by holding the RIGHT MOUSE BUTTON while dragging, or by holding [shift] and LEFT MOUSE BUTTON.	Você pode girar a volta câmera no editor veículo segurando o botão direito do mouse enquanto arrasta, ou mantendo [turno] e botão esquerdo do mouse.
		MOVE THE CAMERA	Mover a câmera
		You can pan the camera around in the vehicle editor by dragging while holding \nMIDDLE MOUSE BUTTON\nor\n[alt] and LEFT MOUSE BUTTON.	Você pode mover a câmera ao redor do editor do veículo, arrastando mantendo \ Nmiddle MOUSE BOTÃO \ nem \ n [alt] e botão esquerdo do mouse.
		ZOOM THE CAMERA	Zoom da câmera
		You can zoom the camera in and out by using the MOUSE SCROLL WHEEL\nor\nthe [-] and [=] keys.	Você pode ampliar a câmera e sair usando a nNão de rolagem do mouse RODA \ nou \ [-] e as teclas [=].
		RESET THE CAMERA	Reinicie a câmera
		Open the camera settings by pressing the 'Camera' button.	Abra as configurações da câmera pressionando o botão 'Camera'.
		Return the camera to its original position by pressing the 'Reset Camera' button.	Voltar a câmera para sua posição original, premindo o botão 'Redefinir câmera'.
		PLACE BLOCK (1/3)	BLOCO DE LUGAR (1/3)
		Place a block in the highlighted space.\n\nMouse over an adjacent component to choose what to connect the block to.\n\nThen click to place it.	Coloque um bloco no espaço de destaque. \ N \ nMouse mais de um componente adjacente para escolher o que para ligar o bloco para. \ N \ ndepois clique para colocá-lo.
		PLACE BLOCK (2/3)	BLOCO DE LUGAR (2/3)
		PLACE BLOCK (3/3)	BLOCO DE LUGAR (3/3)
		PLACE BLOCKS	Coloque blocos
		Place the next three blocks.\n\nMultiple blocks can be placed at once by dragging.	Colocar os próximos três blocos. \ N blocos \ nem múltiplas pode ser colocado de uma vez por arrastamento.
		PLACE WEDGE	LUGAR WEDGE
		PLACE WEDGES	CUNHAS LUGAR
		PLACE PYRAMID	LUGAR DA PIRÂMIDE
		CONNECT LOGIC (1/5)	CONNECT LOGIC (1/5)
		CONNECT LOGIC (2/5)	CONNECT LOGIC (2/5)
		CONNECT LOGIC (3/5)	CONNECT LOGIC (3/5)
		CONNECT LOGIC (4/5)	CONNECT LOGIC (4/5)
		CONNECT LOGIC (5/5)	CONNECT LOGIC (5/5)
		SAVE BOAT	BARCO SALVAR
		Save your boat design so that you can come back to it later.	Salvar seu projeto do barco para que você possa voltar a ela mais tarde.
		SPAWN BOAT	BARCO SPAWN
		Your boat is ready to go.\n\nClick on the 'Spawn' button to build it and take it for a spin.	Seu barco está pronto para ir. \ N \ nClique no botão 'Spawn' para construí-lo e levá-la para uma rodada.
		SELECT ACTIVE MISSION	MISSÃO activas Escolha
		COMPLETE MISSION	MISSÃO COMPLETA
		RETURN TO BASE	RETORNAR À BASE
		Press [f] to focus on hovered mouse position	Pressione [f] para focar na posição pairou rato
		Press [f] to focus on selected object	Pressione [f] para se concentrar em objeto selecionado
		Press [lmb] to place object	Pressione [LMB] para o lugar de objeto
		Hold [shift] to place multiple	Segure [turno] para colocar vários
		Press [enter] to cancel	Pressione [ENTER] para cancelar
		Press [del] to delete object	Pressione [del] para apagar objeto
		Ocean	oceano
		1km x 1km of empty ocean.	1 km x 1 km do oceano vazio.
		Hospital	Hospital
		Small hospital.	pequeno hospital.
		Science	Ciência
		Small science and research outpost.	ciência pequena e avançada de pesquisa.
		Police	Polícia
		Small police station.	delegacia pequeno.
		Airport	Aeroporto
		Large runway in the shadow of an impenetrable plateau.	Grande pista na sombra de um patamar impenetrável.
		Brinkfield	Brinkfield
		Nuclear power plant with dock, reactor rooms and underground disposal pool.	usina de energia nuclear com dock, salas de reatores e piscina eliminação subterrânea.
		Fishing Village	Vila De Pesca
		Small fishing village with mountain, multiple sea stacks and a rocky peninsula.	pequena vila de pescadores com montanha, várias pilhas de mar e uma península rochosa.
		Wind Turbine	Turbina de vento
		Large offshore wind turbine.	Grande turbina eólica offshore.
		Small Oil Rig	Oil Rig pequena
		Medium Oil Rig	Rig Oil Medium
		Wind Farm	Parque eólico
		Multiple wind turbines atop a gentle hillside.	Múltiplas turbinas eólicas em cima de uma encosta suave.
		Oil Refinery	Refinaria de óleo
		An industrial oil refinery with boat access.	Uma refinaria de petróleo industrial com acesso de barco.
		Lighthouse	Farol
		An unmanned lighthouse surrounded by hazardous rock formations.	Um farol não tripulado rodeado por formações rochosas perigosos.
		Observatory	Observatório
		An astronomical observatory research base.	Uma base de pesquisa observatório astronômico.
		Sea Fort	Sea Fort
		An abandoned military sea fort that has been reopened as a tourist hotspot.	Um mar militar abandonada forte que foi reaberto como um centro turístico.
		Mainland Cliff	Cliff Mainland
		Small cliff at the corner of the mainland.	Pequeno penhasco na esquina do continente.
		Mainland Village	Vila Mainland
		Small fishing village near a rocky bay.	aldeia piscatória pequena perto de uma baía rochosa.
		Mainland Peninsula	Península Mainland
		Wall of sharp rocks extending out into the ocean.	Muro de pedras afiadas estendendo-se para o oceano.
		Mainland Tunnel	túnel Mainland
		A short continuing section of rail and road tunnels leading away from the mainland.	A seção continua com falta de túneis ferroviários e rodoviários principais de distância do continente.
		Mainland Junction	junção Mainland
		The junction point on the mainland where the trainline to the Arctic begins.	O ponto de junção no continente onde o trainline ao ártico começa.
		Mainland Road	Estrada Mainland
		Coastal road with a natural tunnel through a rock face.	estrada costeira com um túnel natural através de uma face da rocha.
		Mainland Quarry	Quarry Mainland
		Large quarry with mine, natural rock bridge and small castle ruin.	Grande pedreira com o meu, ponte de pedra natural e pequena ruína do castelo.
		Mainland Beach	Praia Mainland
		Small beach with several rock stacks.	praia pequena, com várias pilhas de rock.
		Mainland Cliff 2	Continente Cliff dois
		Key Cottage	Cottage Key
		Small island with lone cottage on the key.	Pequena ilha com casa solitária na chave.
		Key Chemical Plant	Key Chemical Plant
		Small island with chemical plant on the key.	Pequena ilha com fábrica de produtos químicos na chave.
		Key Lighthouse OB	Farol de Key OB
		Small island with lighthouse on the key.	Pequena ilha com o farol na chave.
		Uninhabited 1	desabitada 1
		Small island with cliff edges.	Pequena ilha com bordas do penhasco.
		Uninhabited 2	desabitada 2
		Smooth climb to a rocky cliffside.	Suavizar subida para um penhasco rochoso.
		Uninhabited 3	desabitada 3
		Two small islands surrounded by cliffs. Aerial access only.	Duas pequenas ilhas cercadas por falésias. acesso aéreo somente.
		Uninhabited 4	desabitada 4
		Multiple scattered sea stacks.	Várias pilhas de mar dispersos.
		Uninhabited 5	desabitada 5
		Relatively flat island with central rocky outcrop.	ilha relativamente plana, com afloramento rochoso central.
		Uninhabited 6	desabitada 6
		Rocky shoreline with a small bay.	costa rochosa com uma pequena baía.
		Uninhabited 7	desabitada 7
		High cliffs and a bay with 2 narrow entrances.	Altas falésias e uma baía com 2 entradas estreitas.
		Ruins 1	ruínas 1
		Rocky coastline with small cave, ancient ruin and sheltered beach.	costa rochosa com pequena caverna, antiga ruína e praia abrigada.
		Ruins 2	ruínas 2
		Sheltered cove, ancient ruin, cliff face connected by natural arch.	enseada abrigada, ruína antiga, penhasco ligados por um arco natural.
		Seabed Rock Formation 1	Formação Seabed rocha 1
		A rocky formation with cave on the ocean bed.	A formação rochosa com caverna no fundo do oceano.
		Seabed Rock Formation 2	Formação Seabed Rock 2
		Two small rock formations on the ocean bed.	Duas formações rochosas pequenas no leito do oceano.
		Seabed Rock Formation 3	Formação Seabed Rock 3
		Multiple scattered rock stacks on the ocean bed.	Várias pilhas de rocha espalhados no leito do oceano.
		Seabed Rock Formation 4	Formação Seabed Rock 4
		A flat rocky formation with central mound on the ocean bed.	A formação rochosa plana com monte central no leito do oceano.
		Seabed Rock Formation 5	Formação Seabed Rock 5
		Seabed Rock Formation 6	Formação Seabed Rocha 6
		Small rocky formation on the ocean bed.	formação rochosa pequena no leito do oceano.
		Seabed Rock Formation 7	Formação Seabed Rocha 7
		Several rocky stacks on the ocean bed.	Diversas pilhas rochosas no leito do oceano.
		Seabed Caves	seabed Caves
		A system of underwater caves.	Um sistema de cavernas submarinas.
		Seabed Shipwreck	seabed Shipwreck
		A sunken iron-hulled merchant vessel.	Um navio de mercadorias descascados-ferro afundado.
		Seabed Shipwreck 2	Fundo do mar Naufrágio dois
		A sunken historic timber caravel.	A afundado histórico caravela madeira.
		Ice	Gelo
		Ice Variant	Ice Variant
		Ice Scale	Escala de gelo
		Add Ice	Adicione gelo
		Ice cannot be picked up but can be moved using vehicles. Its size and type can be set in the properties window.	O gelo não pode ser pego, mas pode ser movida usando veículos. Seu tamanho e tipo pode ser definido na janela de propriedades.
		Arctic Ocean	Oceano Ártico
		1km x 1km of empty Arctic ocean.	1 km x 1 km de vazio oceano Ártico.
		Arctic Oil Refinery	Arctic Refinaria de petróleo
		An oil refinery with rail access.	Uma refinaria de petróleo com acesso ferroviário.
		Arctic Ship Breaking Yard	Arctic Quebra do navio
		A ship breaking yard with dry dock where boats are brought to be scrapped.	Um estaleiro de ruptura com doca seca onde os barcos são apresentadas a ser desmantelada.
		Arctic Research Facility	Facilidade de Pesquisa do Ártico
		An Arctic survey base situated on top of a large iceberg.	Um Arctic base de pesquisa situado no topo de um grande iceberg.
		Arctic Mainland Rocks	Rochas Arctic Continente
		A rocky coastal area surrounded by multiple small icebergs.	A área costeira rochoso cercado por vários pequenos icebergs.
		Arctic Oil Platform	Plataforma petrolífera Arctic
		An oil platform built on the edge of the Arctic mainland, with road access to a train terminal.	Uma plataforma de petróleo construída na borda do continente Ártico, com acesso por estrada a um terminal de trem.
		Arctic Mainland Hill	Arctic Colina Mainland
		A snow-covered rocky hill. Small section of train line with junction boxes.	A colina rochosa coberta de neve. seção pequena da linha de trem com caixas de junção.
		Arctic Mainland Outcrop	Arctic Afloramento Mainland
		Southern end of an outcrop off the coast of the Arctic mainland.	extremo sul de um afloramento na costa do continente Ártico.
		Arctic Mainland Outpost	Outpost Arctic Mainland
		An Arctic research outpost, large inland lake and train terminal with road access.	Um Arctic posto avançado de pesquisa, grande lago interior e terminal de trem com acesso à estrada.
		Arctic Fishing Village	Arctic Fishing Village
		A small fishing village with a dock and a un-manned lighthouse.	A pequena vila de pescadores com um cais e um farol não-tripulado.
		Arctic Mainland Arch	Arctic Arch Mainland
		Eroded rocks form a snow-covered natural arch.	rochas erodidas formar um arco natural coberta de neve.
		Arctic Mainland South	Arctic Sul Mainland
		Southern point of the Arctic mainland where the incoming trainline splits.	ponto do sul do continente Ártico, onde o trainline de entrada divide.
		Arctic Mainland Coast	Arctic costa continental
		A small section of coastline with multiple small icebergs offshore.	Uma pequena parte do litoral, com múltiplos pequenos icebergs offshore.
		Arctic Container Depot	Arctic Container Depot
		A large shipping container depot with several docking areas and trainline access.	Um grande depósito de contentores de transporte com várias áreas de atracação e acesso trainline.
		Arctic Underwater Mining	Arctic Underwater Mineração
		An underwater drilling and mining facility with dock and trainline access.	Uma facilidade de perfuração e mineração subaquática com dock e acesso trainline.
		Multiplayer Island Base	Multiplayer Ilha Base de Dados
		A large island complete with dock and airstrip, both featuring with two workbenches.	Uma grande completa ilha com doca e pista, ambos com com duas bancadas.
		Ice Shelf 1	Plataforma de gelo 1
		An ice shelf with multiple large icebergs.	Uma plataforma de gelo com vários icebergs grandes.
		Ice Shelf 2	Plataforma de gelo 2
		An ice shelf with narrow passages between cliffs of ice.	Uma plataforma de gelo com passagens estreitas entre arribas de gelo.
		Ice Shelf 3	Plataforma de gelo 3
		An ice shelf with multiple large icebergs.	Uma plataforma de gelo com vários icebergs grandes.
		Ice Shelf 4	Plataforma de gelo 4
		An ice shelf with multiple large icebergs.	Uma plataforma de gelo com vários icebergs grandes.
		Ice Shelf 5	Plataforma de gelo 5
		An ice shelf with multiple large icebergs.	Uma plataforma de gelo com vários icebergs grandes.
		Ice Shelf 6	Plataforma de gelo 6
		An ice shelf with multiple large icebergs.	Uma plataforma de gelo com vários icebergs grandes.
		Ice Shelf 7	Plataforma de gelo 7
		An ice shelf with multiple large icebergs.	Uma plataforma de gelo com vários icebergs grandes.
		Ice Shelf 8	Plataforma de gelo 8
		An ice shelf with two very large icebergs.	Uma plataforma de gelo com dois grandes icebergs.
		Ice Shelf 9	Plataforma de gelo 9
		A dense ice shelf with many large icebergs.	A plataforma de gelo denso, com muitos icebergs grandes.
		Ice Shelf 10	Ice Shelf 10
		Two small icebergs.	Dois pequenos icebergs.
		Ice Shelf 11	Ice Shelf 11
		An ice shelf with multiple large icebergs.	Uma plataforma de gelo com vários icebergs grandes.
		Ice Shelf 12	Ice Shelf 12
		An ice shelf with multiple large icebergs.	Uma plataforma de gelo com vários icebergs grandes.
		Volcano Northwest	vulcão Northwest
		Northwest region of a dormant volcano.	região Noroeste de um vulcão dormente.
		Volcano North	vulcão do Norte
		Northern region of a dormant volcano.	região de Northern de um vulcão dormente.
		Volcano Northeast	Nordeste vulcão
		Northeast region of a dormant volcano.	região Nordeste de um vulcão dormente.
		Volcano West	vulcão Oeste
		Western region of a dormant volcano.	região de Western de um vulcão dormente.
		Volcano Center	vulcão Centro
		Central region of a dormant volcano.	região central de um vulcão adormecido.
		Volcano East	vulcão Leste
		Eastern region of a dormant volcano.	região oriental de um vulcão adormecido.
		Volcano Southwest	vulcão Sudoeste
		Southwest region of a dormant volcano.	região sudoeste de um vulcão dormente.
		Volcano South	vulcão do Sul
		Southern region of a dormant volcano.	região de Southern de um vulcão dormente.
		Volcano Southeast	vulcão Sudeste
		Southeast region of a dormant volcano.	região sudeste de um vulcão dormente.
		Special Outfit	Outfit especial
		None	Nenhum
		Diving	Mergulho
		Firefighter	Bombeiro
		Scuba	mergulho
		Parachute	pára-quedas
		Arctic	ártico
		SET OBJECTIVE	OBJETIVO SET
		MISSION COMPONENTS	MISSÃO COMPONENTES
		ADD COMPONENTS TO MISSION	Adicionar componentes para a missão
		PLAYLIST COMPONENTS	PLAYLIST COMPONENTES
		IN MISSON	IN MISSON
		SET TRIGGER	SET TRIGGER
		ZONES	ZONAS
		ZONE	ZONA
		VEHICLE BUTTONS	BOTÕES DE VEÍCULOS
		VEHICLE BUTTON	BOTÃO DE VEÍCULOS
		OBJECTIVES	OBJETIVOS
		OBJECTIVE	OBJETIVO
		SET ACTION COMPONENTS	SET AÇÃO COMPONENTES
		DEPENDENCIES	Dependências
		SET ACTION OBJECTIVES	OBJETIVOS ação definida
		Uploading to workshop. Please wait...	Upload para o workshop. Por favor, espere...
		Loading. Please wait...	Carregando. Por favor, espere...
		Your playlist has errors that must be fixed in order to upload to the workshop:\n\n	A sua lista tem erros que devem ser corrigidos, a fim de fazer o upload para o workshop: \ n \ n
		CANNOT UPLOAD TO WORKSHOP	CAN NOT UPLOAD TO WORKSHOP
		Your mission has errors that must be fixed before it can be tested:\n\n	Sua missão tem erros que devem ser corrigidos antes que ele possa ser testado: \ n \ n
		CANNOT SPAWN MISSION	CAN NOT SPAWN MISSÃO
		WORKSHOP UPLOAD FAILED	WORKSHOP UPLOAD FAILED
		Your playlist has failed to upload to the Steam workshop.	Sua lista não foi capaz de fazer o upload para o workshop Steam.
		Your workshop playlist has failed to update.	Sua lista de reprodução oficina não conseguiu atualização.
		PLAYLIST UPLOAD COMPLETE	PLAYLIST UPLOAD COMPLETE
		Your playlist was successfully uploaded to the Steam workshop.\n\n We recommend heading to your playlist's workshop page to add more information about the mission(s) you've included.\n\n Any vehicles used in your mission(s) have been included as part of the upload. Players will not need to separately subscribe to any of these vehicles.	Sua lista foi enviada com sucesso para a oficina de Steam. \ N \ n Recomendamos indo para página oficina de sua lista de reprodução para adicionar mais informações sobre a missão (s) que você incluiu. \ N \ n Quaisquer veículos usados ​​em sua missão (s) ter sido incluído como parte do upload. Os jogadores não terão de se inscrever separadamente para qualquer um desses veículos.
		PLAYLIST UPDATE COMPLETE	PLAYLIST Update complete
		Your playlist was updated successfully.\n\nYou can customise the changelog for this update by heading to your playlist's workshop page to let your subscribers know what's new.	Sua lista foi atualizada com sucesso. \ N \ n Você pode personalizar o changelog para esta atualização dirigindo a página oficina de sua lista de reprodução para permitir que seus assinantes saber o que há de novo.
		missions	missões
		mission	missão
		objectives	Objetivos
		objective	objetivo
		triggers	gatilhos
		trigger	desencadear
		This component is currently required by	Este componente é actualmente exigido por
		Are you sure you want to delete it?	Tem certeza de que deseja apagá-lo?
		Workshop upload must have a name	Oficina de upload deve ter um nome
		Workshop upload must be renamed	Oficina de upload deve ser renomeado
		This playlist includes the following	Esta lista inclui o seguinte
		mission(s)	missão (s)
		Please note that some missions in this playlist will only naturally spawn if certain criteria are met(such as owning a specific type of island, or having unlocked fire equipment).	Por favor note que algumas missões nesta playlist só irá naturalmente desovar se determinados critérios forem cumpridos (como possuir um tipo específico de ilha, ou ter equipamentos de incêndio desbloqueado).
		The author of this playlist has tagged it as creative, so some or all included missions may be unsuitable for career mode.	O autor desta lista tem marcado-lo como criativo, portanto, algumas ou todas as missões incluídas podem ser inadequados para o modo carreira.
		(If you are the author of this playlist, you can edit this description to add more details)	(Se você é o autor desta lista, você pode editar esta descrição para adicionar mais detalhes)
		Uploaded	Uploaded
		to the Workshop.	para o Workshop.
		Updated	Atualizada
		Playlist must have a name	Playlist deve ter um nome
		Playlist must be renamed	Lista de reprodução deve ser renomeado
		Playlist has no missions or Environment Mods	Playlist não tem missões ou Ambiente Mods
		MISSION OVERVIEW	MISSÃO VISÃO
		No dependencies set.	Sem dependências definido.
		[no zone set]	[Nenhum conjunto de zonas]
		[no vehicle button set]	[Nenhum jogo da tecla do veículo]
		[no objective set]	[Nenhum conjunto objetivo]
		[no buttons set]	[Nenhum conjunto de botões]
		[no flares set]	[Nenhum conjunto alargamentos]
		[no fires set]	[Nenhum conjunto incêndios]
		[no message set]	[Nenhum conjunto mensagem]
		[no objectives set]	[Nenhum conjunto de objetivos]
		Loading vehicles...	Carregando veículos ...
		Saving rogue mode...	Modo de poupança de desonestos ...
		Saving game to autosave...	Salvando jogo para autosave ...
		Occupied	Ocupado
		Place Character In	Lugar personagem em
		Pick Up Character	Pick Up Character
		Store	Loja
		Equip	Equipar
		Restock	Reabastecer
		Swap to	Trocar para
		Release	Lançamento
		Tap	Toque
		Grab	Agarrar
		Hold	Aguarde
		Tether	corrente
		Structure	Estrutura
		Vehicle	Veículo
		Return To Workbench	Return To Workbench
		Deceased	Falecido
		Stop Following	Pare de seguir
		Follow	Segue
		Purchase Island\n$	Compra Ilha \ n $
		Purchase Island to Use	Compra Ilha de Uso
		Not Available	Não disponível
		Not Available When Carrying Someone	Não disponível quando transportar Alguém
		Spawning...	Desova...
		SAVE SELECTION	Salvar seleção
		SAVE VEHICLE	SALVAR VEÍCULO
